id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,113,113,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,12,68,68,2.6,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,2.6,0.0,0.0,0,0.0,0
5,1,deploy,11,1,14,113,113,2.6,1.4,100.0,1254.2,1254.2,4
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,113,113,2.6,1.4,100.0,1254.2,1254.2,4
8,1,deploy,11,1,14,113,113,2.6,2.8,100.0,1254.2,1254.2,4
9,1,remap_successfully,-,-,-,-,-,2.6,2.8,100.0,1254.2,1254.2,4
10,1,deploy,4,2,12,68,68,2.6,4.0,100.0,2246.4,1123.2,7
11,2,create,7,3,11,6,6,3.7,4.0,100.0,2246.4,1123.2,7
12,2,create,10,4,19,25,25,5.6,4.0,100.0,2246.4,1123.2,7
13,2,remap,-,-,-,-,-,-,-,-,-,-,-
14,2,interrupt,-,1,14,113,112,5.6,4.0,100.0,2246.4,1123.2,7
15,2,interrupt,-,2,12,68,67,5.6,4.0,100.0,2246.4,1123.2,7
16,2,deploy,4,2,12,68,67,5.6,5.2,100.0,992.2,992.2,7
17,2,deploy,11,1,14,113,112,5.6,6.5,100.0,2246.4,1123.2,7
18,2,remap_successfully,-,-,-,-,-,5.6,6.5,100.0,2246.4,1123.2,7
19,2,deploy,4,3,11,6,6,5.6,7.6,100.0,3210.7,1070.2,10
20,2,remap,-,-,-,-,-,-,-,-,-,-,-
21,2,interrupt,-,2,12,68,67,5.6,7.6,100.0,3210.7,1070.2,10
22,2,interrupt,-,1,14,113,112,5.6,7.6,100.0,3210.7,1070.2,10
23,2,interrupt,-,3,11,6,6,5.6,7.6,100.0,3210.7,1070.2,10
24,2,deploy,6,3,11,6,6,5.6,8.7,100.0,964.4,964.4,13
25,2,deploy,4,2,12,68,67,5.6,9.9,100.0,1956.6,978.3,10
26,2,deploy,11,1,14,113,112,5.6,11.3,100.0,3210.8,1070.3,10
27,2,remap_successfully,-,-,-,-,-,5.6,11.3,100.0,3210.8,1070.3,10
28,2,deploy,6,4,19,25,25,5.6,13.2,100.0,4892.9,1223.2,15
29,3,create,5,5,10,152,152,6.5,13.2,100.0,4892.9,1223.2,15
30,3,remap,-,-,-,-,-,-,-,-,-,-,-
31,3,interrupt,-,3,11,6,5,6.5,13.2,100.0,4892.9,1223.2,15
32,3,interrupt,-,2,12,68,66,6.5,13.2,100.0,4892.9,1223.2,15
33,3,interrupt,-,1,14,113,111,6.5,13.2,100.0,4892.9,1223.2,15
34,3,interrupt,-,4,19,25,24,6.5,13.2,100.0,4892.9,1223.2,15
35,3,deploy,6,3,11,6,5,6.5,14.3,100.0,964.4,964.4,10
36,3,deploy,4,2,12,68,66,6.5,15.5,100.0,1956.6,978.3,10
37,3,deploy,11,1,14,113,111,6.5,16.9,100.0,3210.8,1070.3,10
38,3,deploy,6,4,19,25,24,6.5,18.8,100.0,4892.9,1223.2,15
39,3,remap_successfully,-,-,-,-,-,6.5,18.8,100.0,4892.9,1223.2,15
40,3,deploy,11,5,10,152,152,6.5,19.7,100.0,5669.0,1133.8,17
41,4,create,9,6,11,50,50,7.6,19.7,100.0,5669.0,1133.8,17
42,4,create,7,7,17,36,36,9.3,19.7,100.0,5669.0,1133.8,17
43,4,create,5,8,19,17,17,11.2,19.7,100.0,5669.0,1133.8,17
44,4,remap,-,-,-,-,-,-,-,-,-,-,-
45,4,interrupt,-,3,11,6,4,11.2,19.7,100.0,5669.0,1133.8,17
46,4,interrupt,-,2,12,68,65,11.2,19.7,100.0,5669.0,1133.8,17
47,4,interrupt,-,1,14,113,110,11.2,19.7,100.0,5669.0,1133.8,17
48,4,interrupt,-,4,19,25,23,11.2,19.7,100.0,5669.0,1133.8,17
49,4,interrupt,-,5,10,152,151,11.2,19.7,100.0,5669.0,1133.8,17
50,4,deploy,4,5,10,152,151,11.2,20.7,100.0,936.5,936.5,17
51,4,deploy,6,3,11,6,4,11.2,21.8,100.0,1900.9,950.5,12
52,4,deploy,11,2,12,68,65,11.2,23.0,100.0,2893.9,964.6,9
53,4,deploy,4,1,14,113,110,11.2,24.4,100.0,3984.3,996.1,12
54,4,deploy,11,4,19,25,23,11.2,26.3,100.0,5627.5,1125.5,17
55,4,remap_successfully,-,-,-,-,-,11.2,26.3,100.0,5627.5,1125.5,17
56,4,deploy,4,6,11,50,50,11.2,27.4,100.0,6591.799999999999,1098.6,20
57,4,remap,-,-,-,-,-,-,-,-,-,-,-
58,4,interrupt,-,5,10,152,151,11.2,27.4,100.0,6591.799999999999,1098.6,20
59,4,interrupt,-,3,11,6,4,11.2,27.4,100.0,6591.799999999999,1098.6,20
60,4,interrupt,-,2,12,68,65,11.2,27.4,100.0,6591.799999999999,1098.6,20
61,4,interrupt,-,1,14,113,110,11.2,27.4,100.0,6591.799999999999,1098.6,20
62,4,interrupt,-,4,19,25,23,11.2,27.4,100.0,6591.799999999999,1098.6,20
63,4,interrupt,-,6,11,50,50,11.2,27.4,100.0,6591.799999999999,1098.6,20
64,4,deploy,4,5,10,152,151,11.2,28.4,100.0,936.5,936.5,14
